username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
ACUEDUCTOSPR,2017-11-14 09:19,0,0,Compartimos reportaje de @VoceroPR donde reseñan proceso de facturación http://www. elvocero.com/gobierno/aaa-a nuncia-de-servicio-y-proceso-de-facturaci-n/article_fa7f54d4-c896-11e7-98dd-3356245db6c7.html …,,@VoceroPR,,9.30440033928208E+017,https://twitter.com/ACUEDUCTOSPR/status/930440033928208386,
ACUEDUCTOSPR,2017-11-14 09:18,6,5,Compartimos reportaje de @NotiUno donde reseñan proceso de facturación https:// notiuno.com/video-acueduct os-explica-facturacion-del-servicio-de-agua-tras-huracanes/ …,,@NotiUno,,9.30439777832391E+017,https://twitter.com/ACUEDUCTOSPR/status/930439777832390656,
ACUEDUCTOSPR,2017-11-13 12:34,5,3,"[Ahora] @PresidenteAAA en conferencia de prensa, explica sobre proceso de facturación de la agencia #PRSeLevanta #AAAparaTodos #UnEquipo pic.twitter.com/vkvwdh9YbU",,@PresidenteAAA,#PRSeLevanta #AAAparaTodos #UnEquipo,9.30126724578316E+017,https://twitter.com/ACUEDUCTOSPR/status/930126724578316288,
ACUEDUCTOSPR,2017-11-13 12:20,1,5,"[Informamos] Desde el día uno, hemos estado trabajando arduamente y sin descanso porque #PRSeLevanta #PRStrong #90% clientes con servicio #AAAparaTodos #UnEquipo pic.twitter.com/IdJ4iHc3tC",,,#PRSeLevanta #PRStrong #90 #AAAparaTodos #UnEquipo,9.30123162439815E+017,https://twitter.com/ACUEDUCTOSPR/status/930123162439815169,
ACUEDUCTOSPR,2017-11-13 12:20,6,12,[Ahora] @PresidenteAAA en conferencia de prensa sobre proceso de facturación de la agencia y anuncio de 90 % de clientes con servicio restablecido #PRSeLevanta #AAAparaTodos #UnEquipo pic.twitter.com/oduL5pIDdj,,@PresidenteAAA,#PRSeLevanta #AAAparaTodos #UnEquipo,9.30123108874416E+017,https://twitter.com/ACUEDUCTOSPR/status/930123108874416128,
ACUEDUCTOSPR,2017-11-13 12:17,7,12,AAA ANUNCIA 90% DE SERVICIO Y PROCESO DE FACTURACIÓN - Sobre 1.1 millón de clientes ya cuentan el servicio de tan preciado líquido http://www. acueductospr.com/comunicados/de fault?docid=814E987882DE9853042581D7005BD9A8 … pic.twitter.com/fKnKYFBYya,,,,9.30122489518281E+017,https://twitter.com/ACUEDUCTOSPR/status/930122489518280705,
ACUEDUCTOSPR,2017-11-13 11:58,0,0,Saludos. Reportado al área operacional para cotejo del sistema. Wm,,,,9.30117721940988E+017,https://twitter.com/ACUEDUCTOSPR/status/930117721940987904,
ACUEDUCTOSPR,2017-11-13 10:32,7,10,Personal #RegiónOeste participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #SanGerman @NegronIsidro pic.twitter.com/oR7ilkO0v3,,@BeatrizRossello @NegronIsidro,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #SanGerman,9.30096019613913E+017,https://twitter.com/ACUEDUCTOSPR/status/930096019613913089,
ACUEDUCTOSPR,2017-11-13 10:27,12,12,Personal #RegiónSur participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Villalba pic.twitter.com/YEFFsPcEhb,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Villalba,9.30094709577527E+017,https://twitter.com/ACUEDUCTOSPR/status/930094709577527296,
ACUEDUCTOSPR,2017-11-13 10:21,9,12,Personal #RegiónMetro participa iniciativa #EmergencyStopAndGo oficina primera dama @BeatrizRossello #PRSeLevanta #AAAparaTodos #Canóvanas pic.twitter.com/Xm9X4fDvPo,,@BeatrizRossello,#Regi #EmergencyStopAndGo #PRSeLevanta #AAAparaTodos #Can,9.30093157336875E+017,https://twitter.com/ACUEDUCTOSPR/status/930093157336875008,
